Output (S),Ia,Ib,Ic,Va,Vb,Vc
0,-66.55537062,39.18135786,23.60636573,-2344.620432,-4241.892105,6586.5125370000005
1,-254.9325635,27.91061726,-48.47532015,-3731.569226,6662.057952,-2930.4887150000004
0,42.1508652,-65.10301862,31.2165072,6455.584388,-1564.244286,-4891.340102
0,-71.08014873,68.18460183,-0.094408819,-2173.418126,-4275.134534,6448.55266
0,49.29884348,28.01145077,-75.45057049,-2105.802094,6676.0916529999995,-4570.289559
1,861.0108747,-565.8478162,4.652619426,150.458033,-2802.26705,2651.809017
1,51.31972722,-665.0536058,616.4255379,1709.3413259999998,252.62953100000001,-1961.970846
0,-37.03425783,-2.111072837,36.06081089,5009.0306199999995,-6027.151108,1018.120488
1,-63.95839231,70.51678771,-4.122368282,-5141.356275,-466.902051,5608.258326
0,-51.98948745,95.81971432,-47.07343122,-5874.084326,125.36800099999999,5748.716324999999
1,348.0772109,529.0795702,-877.1590448,464.200198,-200.47247000000002,-263.727728
1,626.2262462,4.015628225,36.22773569,2452.776238,-6027.101388,3574.325161
1,878.613979,-520.8080606,-357.8081816,170.815227,-460.354598,289.539371
0,-57.32617043,12.14452001,47.47899241,2583.986911,-6520.923618,3936.936707
1,773.4979299,-14.8600569,-756.5831253,388.952113,-416.09239099999996,27.140278000000002
0,-45.58852474,91.89083449,-44.39001835,-6098.037187,605.33253,5492.704657
1,44.97935246,-709.6951228,667.1755256,492.711362,220.708983,-713.420345
0,-68.65247884,41.55601863,29.40043501,-479.653284,-5462.7647799999995,5942.418064
0,35.55875529,-30.8309467,-7.673838877,5586.6290149999995,297.365728,-5883.994743
1,751.5650685,69.45364146,-24.26994869,-2704.4996109999997,1257.309603,1447.1900079999998
0,52.23623331,-0.452886482,-49.04782815,-1025.110702,6228.664793999999,-5203.554092
0,-68.91177683,47.40617392,18.15886048,602.141243,-5884.932416000001,5282.7911730000005
0,-16.8287896,-15.588326,29.09313111,6125.549991,-4846.692884,-1278.857107
0,-63.81814402,25.09776985,41.02058804,1290.078229,-6233.12976,4943.051531
1,792.8567515,-58.28974031,-734.5662644,377.16559100000006,-425.93567499999995,48.770084
1,-47.68309557,772.3679409,-722.1973973,736.388213,-118.46659,-617.9216339999999
0,20.01980183,-32.28698832,9.315771913,6337.643993999999,-1666.1160559999998,-4671.527938
1,586.8111305,-0.427808181,38.3158811,2663.0196889999997,-6193.8840150000005,3530.864326
1,867.7092736,59.52979723,-6.510887446,-1325.816371,-1240.511954,2566.328325
0,-42.54813627,4.33904416,35.0018421,4582.563733,-6212.050086,1629.486353
1,-751.0018135,-25.72279014,778.8186222,-401.017837,406.42713100000003,-5.409293999999999
0,-21.7585999,-15.53268514,34.32764859,5904.271054,-5255.52148,-648.749574
0,-30.66660674,99.27222064,-72.03092666,-6772.239331,2798.315476,3973.923866
1,169.3331591,-834.9489313,667.6159676,-364.089528,-69.72944,433.81896800000004
0,57.80980193,-50.81375612,-7.093985904,3874.568753,2734.983339,-6609.552092
1,-40.55343116,-358.4795866,401.4729631,-5524.913877999999,-398.239908,5923.153786
1,651.4507976,191.0424782,-842.4955395,437.91512600000004,-355.641341,-82.273785
0,-69.35036703,62.51447077,8.738100303,-1755.594478,-4603.062629,6358.657107
0,25.26351143,-32.43521645,4.221991808,6160.151745,-1055.8339,-5104.317845
0,-9.984297256,-34.18155656,46.45086548,6321.008133,-4689.904637,-1631.1034960000002
1,533.3015225,-5.982690982,40.70750133,2910.472004,-6367.919954,3457.4479499999998
0,-1.491777195,-15.96143285,29.11775596,6324.509224,-3839.427141,-2485.082083
0,-29.7249541,99.09048046,-72.78907439,-6784.971753999999,2894.6929330000003,3890.2788100000002
0,-26.55420715,-23.00531432,51.84826927,5609.768472,-5742.190762,132.422301
0,-65.32330034,83.57895735,-21.25194095,-4203.3879799999995,-2338.0615279999997,6541.449519
1,803.2592998,-723.0061635,-9.823158113,38.689585,-1957.456358,1918.7667729999998
0,-21.35395499,61.59062935,-43.93666113,-6663.668759,2939.906772,3723.761987
1,-13.53289862,718.4425804,-702.3397833,3694.541972,155.291785,-3849.833768
0,-54.1724639,16.80350568,34.39447893,3277.305009,-6461.223461,3183.9184630000004
0,-31.25525726,-27.14244448,58.39770174,4531.088616999999,-6486.210555,1955.121949
0,-38.25458634,-2.231835811,42.3762341,4753.85075,-6196.748305,1442.897555
1,783.0576118,-746.309778,-34.68060812,-0.6446000000000001,-402.94807299999997,403.59234299999997
0,-61.4858994,87.72353177,-29.23622082,-4833.527237,-1545.676055,6379.203302999999
1,47.47891091,-682.5491512,637.6392978,923.4496809999999,252.22624900000002,-1175.67593
0,-6.942146173,89.4366364,-85.88101951,-6619.467118,4875.7463259999995,1743.720792
0,7.846607906,-41.92298021,36.35743468,6578.450714,-3207.461268,-3370.989457
1,-599.0635993,-267.9831102,867.2200219,-354.534653,303.57118,50.963473
1,709.1537966,-811.0043671,103.8417519,-73.522493,-361.483705,435.00619800000004
1,567.9699022,-571.2817284,5.440311356,296.430519,-5182.3892670000005,4885.958748
0,48.70514274,-26.70530701,-20.12809869,4421.709556,2126.145395,-6547.854951
1,-643.9195763,-190.8920941,836.9867066,-223.798784,300.020721,-76.221937
0,-26.26958738,90.39195139,-62.27830197,-6741.702352,2826.80442,3914.897932
0,22.45077412,-53.44488475,33.75437111,6361.40637,-1630.729595,-4730.676775
1,-249.3844327,858.4443489,-609.061771,334.67265699999996,113.497527,-448.17018399999995
1,315.5585991,-29.59668731,41.87084636,3658.941132,-6658.770569,2999.829437
1,-100.0290268,810.0752337,-710.0484706,385.27859700000005,34.185272,-419.463869
1,574.6174683,70.28377187,-36.56587491,-3569.238783,3218.4180380000003,350.82074500000004
1,-429.7382257,12.17705775,-43.66499878,-3160.800071,6524.862036,-3364.0619540000002
1,825.2611662,-675.5125238,-5.318929936,72.409436,-2236.154008,2163.744572
0,-59.33802853,95.48292402,-39.6082445,-5281.201739,-898.525628,6179.7273669999995
1,871.6313518,57.66797918,-4.163540269,-1137.04998,-1547.6175879999998,2684.6675569999998
1,-29.93097208,-482.927357,515.3112053,-5263.008762,-346.13626300000004,5609.145025
0,15.65433495,72.86256728,-91.78293919,-5619.82828,6257.451013000001,-637.622733
0,-14.95478093,68.22370162,-50.5557031,-6697.357370000001,3873.946461,2823.41092
0,-26.27740431,95.73702381,-72.71218774,-6801.28383,3162.055468,3639.2283509999997
1,-591.642859,-271.1013606,864.7557882,-451.37851,326.601627,124.776883
1,-865.7787898,-59.53805298,6.502401365,1326.803115,1240.513351,-2567.3164659999998
1,71.33643208,-799.9938243,-54.9175667,-393.655966,2311.60083,-1917.9448639999998
1,-848.7549405,-38.50467329,-14.44524601,-435.037152,3825.459935,-3390.422783
0,4.79139679,58.128811,-59.90705672,-6189.261485,5371.013714,818.2477710000001
1,-669.3967354,-141.071489,-46.27963287,-430.323135,4141.108367,-3710.7852319999997
1,-554.8021019,872.6252947,-317.8252234,185.17849900000002,277.885113,-463.063612
1,-730.3672969,-38.69841427,771.2432582,-454.464384,401.82979100000006,52.634592999999995
0,51.93241535,19.42903642,-74.28660522,-997.3520589999999,6354.255281,-5356.903233
0,-42.5863237,-41.01145327,67.19861816,5524.852355000001,-5271.6838020000005,-253.168553
1,-199.1352227,34.47926357,-48.998655,-3904.499302,6613.593327,-2709.094036
0,-47.29132939,93.06884191,-48.66884812,-6108.081023000001,624.526342,5483.5546699999995
0,17.08957136,73.96608084,-94.29965262,-5509.66405,6361.235155,-851.571105
1,-88.5518739,-52.64654509,49.46566202,4204.231328,-5989.184047,1784.952719
1,-447.0537266,-436.7101537,883.7616309,-465.661559,252.542675,213.118884
1,208.1954396,57.99378738,-48.3935291,-4194.136023,5575.414680000001,-1381.2786569999998
1,-216.0406261,31.32719389,-48.69356965,-3813.68878,6645.201948,-2831.513168
1,223.4608278,-851.3610506,629.8996495,-345.10135,-98.512909,443.614259
0,55.80432673,0.023939968,-53.48052135,-115.465614,5890.496260000001,-5775.030646
0,53.71897232,-5.365007498,-52.05541331,-1492.690969,6367.9208229999995,-4875.229854
0,-64.62289084,87.74683797,-26.3606128,-4458.876851,-2028.606668,6487.483519
0,28.60711292,37.37184435,-63.25370475,-4641.424656,6517.566451000001,-1876.141795
1,126.9475134,-833.630013,708.8433676,-365.416667,-52.280404,417.697071
0,-50.84433874,14.85025427,32.6579389,3783.9842809999996,-6397.910486,2613.926194
0,-70.86705183,66.18221285,1.807916314,-2068.226369,-4359.820927,6428.047285
1,266.63194,589.5038589,57.61123112,459.22718599999996,-3450.933057,2991.705871
1,573.0881516,-884.5335237,-33.86680822,-165.185614,-154.237622,319.423225
1,59.29752669,-792.3110115,735.0152186,-397.68851099999995,-11.44781,409.13632099999995
1,-308.6692598,-561.5251714,872.2800148,-462.498652,181.257549,281.241103
1,850.6123958,-274.9028588,25.52213653,303.400163,-3729.028248,3425.6280739999997
0,58.07210348,-50.19980989,-8.068554597,3789.146438,2830.1164759999997,-6619.262914
0,50.96890396,22.86086709,-76.98838523,-1111.895202,6409.620448000001,-5297.725246
1,-84.81793881,805.7682251,54.62686693,389.717449,-2257.299946,1867.582497
0,-17.49742817,-46.65457614,60.54114584,6029.192576,-5457.9466919999995,-571.245884
0,32.60726497,32.80919298,-62.68989292,-4247.5433,6619.023147,-2371.479836
0,-33.66978958,81.48583334,-45.58162966,-6559.534707,1967.853261,4591.6814460000005
0,4.569646435,-57.24228421,52.67263778,6598.388247,-4095.1869859999997,-2503.2012720000002
0,-70.72855063,70.58683724,-2.849104472,-2470.1824509999997,-4037.6113910000004,6507.793842
1,-41.38954576,-347.4866562,391.3153234,-5537.996794,-402.070339,5940.067133
0,-60.13746565,90.2857451,-33.26528018,-5056.697712,-1232.7029220000002,6289.4006340000005
0,57.26158365,-16.4104153,-36.61285474,746.0248399999999,5361.11708,-6107.14192
0,-43.04634783,81.27558879,-35.99718771,-6191.119197999999,839.925735,5351.193463
1,28.32870671,-775.054561,749.2154064,-1497.6259320000001,61.404442,1436.221479
0,7.284424213,48.62299786,-59.58728057,-6180.737871,5271.684759,909.053112
0,61.05693424,-28.13796656,-34.94052497,1001.9601240000001,5196.283862,-6198.2439859999995
1,641.3721264,-861.0141766,-28.52837724,-117.848764,-606.8266490000001,724.675413
0,21.28512179,-62.43600539,41.1508836,6610.978934999999,-2557.077512,-4053.9014230000002
1,-101.8008721,-724.670089,-57.45944368,-409.33136199999996,2987.9060529999997,-2578.574691
0,57.57622644,-4.129202253,-51.58121379,1409.0741830000002,5026.742886,-6435.817069
0,53.77056459,12.65461263,-69.7113641,135.02652899999998,5847.373796,-5982.4003250000005
1,805.3172361,67.17741593,-18.62290159,-2277.3410879999997,427.037237,1850.3038619999998
1,463.7294824,68.0973257,-41.43428034,-3874.6189569999997,4091.828983,-217.21002600000003
0,-63.97995417,69.08389851,-2.879172471,-3980.734791,-2635.268922,6616.003713000001
1,-380.6135044,-490.1465317,-56.41700439,-465.73945000000003,3739.228031,-3273.4885919999997
0,38.31239282,46.5934933,-82.9765416,-3806.738639,6832.399365,-3025.660737
0,-52.66739604,-10.52492023,59.43002733,3036.0589819999996,-6657.274998,3621.216016
0,-17.48481399,60.51644298,-46.72139415,-6678.482910000001,3309.6971930000004,3368.785717
0,-50.61489528,79.45285865,-26.60805417,-5697.992652000001,-205.48396,5903.4766119999995
1,336.4874662,-887.1598266,550.7017473,-295.54283,-161.566482,457.109323
0,3.929534863,-40.60210964,38.95451419,6566.919975,-3564.1505349999998,-3002.76944
1,-200.4827255,-640.3759451,-57.78259466,-451.422576,3260.527094,-2809.104529
1,595.1789351,70.51437083,-35.47989709,-3497.336139,3033.5000080000004,463.83611999999994
1,-24.98458171,-525.5691569,552.9154853,-5098.995451,-316.666746,5415.662208
0,56.1078919,-17.4877404,-35.87986736,853.007683,5296.044281,-6149.051964
0,26.42056506,60.37725923,-84.8712829,-5001.848973,6552.591364,-1550.742391
1,-867.6470653,521.5456867,-8.259845705,-177.953567,2988.366535,-2810.412968
0,-50.18926944,12.25947825,34.84052482,3795.443872,-6414.763035999999,2619.319153
0,-22.06678535,-14.31381633,33.30082121,5898.879723,-5247.592955,-651.286768
1,-855.2367791,299.6590319,-23.88741043,-291.012337,3669.858049,-3378.8457230000004
1,-49.18093019,44.5952712,-49.91931364,-4117.156438999999,6372.948659,-2255.79222
1,104.0979612,-41.05539685,49.75573452,4053.8137640000004,-6482.916088,2429.102324
0,61.90782872,-19.02280316,-42.88502556,-25.988105,5785.576631999999,-5759.588527000001
1,-321.6594247,-550.7699065,874.4364585,-463.354595,187.980815,275.37378
0,-9.62830882,-51.67284299,57.69306838,6334.246622,-4935.4519279999995,-1398.794694
1,-557.5809453,878.5439542,34.59746314,178.68777300000002,85.074968,-263.762741
1,318.2131757,546.4679245,57.22018864,463.352285,-3587.975193,3124.622897
0,-12.91925984,-22.30344041,37.10761476,6191.756406,-4829.458667,-1362.297739
1,-680.176786,-70.68934716,30.17562573,3132.22162,-2167.022825,-965.198806
0,23.80733403,62.94806543,-84.82941597,-5210.408654,6453.5251880000005,-1243.116534
1,35.66462694,-761.3860074,728.1413358,-726.3322880000001,125.871658,600.460641
1,52.32928966,-608.5628821,558.8325335,1849.737032,315.839524,-2165.576567
0,-21.53747365,-40.89874705,62.4362207,5641.593166,-5894.365873,252.772707
0,-13.19589679,-33.29505139,48.86550983,6220.962781,-4892.547198,-1328.415583
0,22.58908603,-28.66381878,2.76381981,6208.874463,-1236.153369,-4972.721083
1,-173.7515028,-659.4705763,-57.75032937,-447.573467,3178.68309,-2731.109612
1,-781.0845435,67.95051682,-36.92398697,-376.726427,4046.54932,-3669.8228929999996
0,-51.66346557,14.16451851,34.40908685,3624.588484,-6434.1596,2809.571116
0,-62.65637186,22.78252981,39.87384205,-392.196178,-5566.021802,5958.21798
1,642.4277653,182.2398575,47.85795868,438.161064,-4132.390305999999,3694.229242
1,855.3658913,40.35169787,12.93681096,303.34416200000004,-3652.133298,3348.789136
0,31.34409585,56.0469392,-90.53934532,-4334.044858,6799.388816000001,-2465.343958
1,865.3042056,-273.9476728,-589.2980298,296.430596,-459.12624999999997,162.695643
1,-686.9110592,-136.2268845,825.1514463,-427.63420700000006,374.611083,53.023124
0,52.44836888,-59.77296214,8.992704856,5175.647818,1034.203973,-6209.851791
1,855.6082714,-600.6435658,1.9276388,131.836188,-2656.956665,2525.120477
0,-38.03218871,-3.318789721,43.16952179,4758.478791,-6203.389587999999,1444.910797
0,-45.60584648,-20.18083744,62.16470396,3926.157873,-6625.764299,2699.6064260000003
1,-170.3492996,-56.86641072,48.60705899,4206.783757,-5687.379291,1480.5955339999998
0,-67.90522592,55.52199817,15.07721279,-3246.8193560000004,-3440.9507220000005,6687.7700780000005
0,-44.56210596,98.68442499,-57.49586069,-6343.96411,1177.989043,5165.975056
1,-83.7133742,42.10281172,38.01563142,4586.235313,-730.8299790000001,-3855.405334
1,-575.4231669,868.680227,-291.1448518,171.739788,289.34115099999997,-461.08092800000003
1,873.5482495,-566.587525,-304.816612,145.46909300000002,-456.955037,311.485944
1,-80.00979101,-722.2729283,802.280463,-430.89841299999995,61.720834999999994,369.17758899999995
0,-31.33713163,98.05907807,-70.10035322,-6751.726267,2692.2671490000002,4059.459129
1,-75.31721453,-740.556275,-57.25695976,-404.007384,2897.078657,-2493.071273
0,41.6472171,-25.37448735,-19.45113667,4971.082006,1354.585221,-6325.667227
1,-789.5785129,734.9501114,11.60064534,-21.575509999999998,1840.191056,-1818.615546
0,56.64196117,-13.24404572,-47.1021981,-666.522021,6071.05543,-5404.533409
0,7.823453109,65.6378006,-71.12966508,-6130.417271,5562.449398,567.967873
0,48.0196004,29.51173232,-80.56849399,-1925.1974500000001,6661.000236,-4735.802786
0,51.23482395,-33.16063191,-15.717022,3974.6777070000003,2648.517124,-6623.194831
0,38.32270855,35.66787176,-71.73935384,-3766.7244229999997,6753.361064999999,-2986.636642
1,-340.9812,876.1871975,-535.2082612,297.005808,162.48953600000002,-459.49534400000005
0,-69.17237109,51.55853499,19.8334825,-1716.254991,-4680.933136000001,6397.188127
1,43.54284404,-719.0927477,678.0992673,317.277939,207.70701599999998,-524.984955
1,603.7390497,258.2846147,-859.8924938,449.513933,-331.509519,-118.004414
1,-739.9866393,-90.91789667,-24.87745246,1014.9229750000001,1240.5137359999999,-2255.436711
1,240.2406747,610.4945467,57.72404404,456.255107,-3377.119009,2920.8639019999996
1,799.1640956,-110.9649898,34.78402054,364.120438,-4000.8436159999997,3636.7231779999997
0,46.76037029,-24.40600823,-25.2953005,4406.726038,2152.506037,-6559.232075000001
0,-49.66014158,-6.829481048,58.87196419,3688.4218250000004,-6559.894714999999,2871.4728899999996
0,17.81918383,-27.05892446,5.79798505,6338.900127999999,-1732.871327,-4606.028801
0,6.199295175,80.23213608,-89.69433098,-6148.512216,5740.215921000001,408.296306
0,-69.12984966,61.42403685,9.536279198,-1750.9354720000001,-4609.747791,6360.683263
0,45.41652637,-29.36923457,-14.17447516,4860.407948,1517.837189,-6378.245126000001
1,56.3445625,-478.9382125,425.1343983,3018.538259,387.113518,-3405.6517769999996
0,12.02561081,-28.73941706,13.52407729,6473.746224,-2437.008178,-4036.738046
1,-69.63970251,319.3468201,-247.2499768,-4154.139814,-439.87991300000004,4594.019716
1,-355.8064395,-513.2396259,-56.781498,-465.06064000000003,3681.419137,-3216.3584859999996
0,57.81928897,-51.55022697,-6.269062003,3979.9634269999997,2638.484398,-6618.447814
1,-882.5282922,463.4637991,421.0867221,-204.805689,465.117378,-260.311689
1,-39.70898199,-369.3877377,411.5375289,-5510.459339,-394.348064,5904.807403
0,-39.38293108,-15.11884944,56.88224808,4709.392611,-6286.283453999999,1576.890843
1,-616.3508296,856.6700087,-238.2077826,144.205523,311.71756,-455.92308299999996
0,16.89881532,-62.23399479,41.73644608,6609.205438,-2654.8673470000003,-3954.338091
0,-15.17370549,-32.15373589,49.70237762,6150.278134,-5027.26246,-1123.015674
1,869.367324,-402.3879725,17.10454023,243.01706000000001,-3400.115499,3157.0984390000003
0,-10.58468278,90.07866938,-82.75155994,-6703.203737999999,4557.6133899999995,2145.590348
0,42.88547283,41.3431615,-87.63439124,-2733.111601,6844.058133,-4110.946532
1,533.0451056,-877.0362005,343.9888315,-199.05604399999999,-265.059718,464.115762
1,870.5568574,-518.9522229,-39.26467013,177.60062100000002,-2596.40557,2418.8049490000003
0,34.51339186,-33.90745779,1.269764529,5804.755956999999,-147.62351999999998,-5657.132437
0,-40.31992209,3.031410921,33.95653095,4792.651292,-6113.937191999999,1321.2859
1,645.7528217,6.23562581,35.13262997,2344.321298,-5934.745102,3590.4237930000004
0,-63.17566315,23.39784946,41.99106989,1395.637771,-6268.722261999999,4873.084491
0,-58.40237124,25.5265256,29.53617149,2800.7671339999997,-6423.293294,3622.52616
0,53.80841037,18.02331881,-74.18341874,-190.993561,6027.646713,-5836.653152
1,55.77584443,-384.9838323,331.9765332,4265.360528,290.014989,-4555.375517
0,-41.88339891,-24.83637185,62.96129923,4335.367619,-6548.621981,2213.254351
0,-72.63615717,70.06786958,-0.903862099,-1793.882266,-4542.3614609999995,6336.243715999999
0,9.083718892,-33.16129749,25.88757857,6546.192994,-3049.655037,-3496.537957
0,45.8064843,-20.63341383,-28.47349974,4390.0390050000005,2177.046091,-6567.085107
1,-46.2197917,-279.8172891,328.4721212,-5588.181236,-422.415026,6010.596251
1,46.97649118,-160.0581824,115.9083211,5462.634045,78.91237199999999,-5541.546406
0,-37.32703469,-25.74855445,63.07558914,4427.432229,-6528.3279600000005,2100.895731
1,758.9732708,12.13827685,-771.1138113,396.725439,-409.158354,12.432903999999999
0,60.41115207,-23.62599077,-39.01076579,482.791452,5507.7508419999995,-5990.542294
0,29.41077449,-32.12869725,-0.230373405,5969.462796,-538.507156,-5430.95564
1,22.95021921,-790.5471625,770.1681427,-1989.493,2.380103,1987.112897
1,-372.6793282,-506.324184,881.0114112,-465.624346,214.38681,251.23753599999998
0,-59.65993748,48.4825161,11.17742138,-3549.041034,-3111.222202,6660.263236000001
0,27.95374341,48.35249842,-73.96972318,-4820.2063689999995,6535.830983000001,-1715.624614
1,641.9131621,-855.0740954,215.3128901,-125.53893,-325.839261,451.378191
0,-26.32073983,-35.54577313,61.86651295,5214.376629,-6203.848255,989.4716259999999
1,-482.4609844,-400.0318376,882.4905585,-464.094158,270.723101,193.371057
1,-706.6690085,-13.93374743,-31.02527864,-1946.082666,5566.027071,-3619.9444049999997
0,-41.69706305,62.97438705,-24.93884835,-6076.592599,635.75127,5440.841329
1,116.522025,-20.2824411,20.08317362,3971.585574,-6347.989868,2376.404294
0,-38.2991845,-12.41636777,53.00716123,4789.655101,-6270.240284,1480.5851830000001
1,48.23698206,-676.8084046,631.0479317,1010.7464070000001,258.352314,-1269.098732
1,661.2331471,176.7489397,-837.9822941,435.903567,-360.736156,-75.167411
1,349.04075,529.4830256,-876.3971061,464.56175699999994,-200.861056,-263.700701
0,-40.75154262,92.52406417,-49.85912583,-6349.7693930000005,1229.491373,5120.278031
1,-56.42262748,-99.59544281,158.351503,-5497.336405,-455.461611,5952.798016000001
0,-10.70642187,85.4297136,-72.87639196,-6722.248324,4264.029429,2458.218895
1,-79.01627426,-721.0590661,-57.18930131,-430.652442,2868.083548,-2437.431106
1,-813.2592615,-66.45698976,17.14547947,2166.502547,-217.89979200000002,-1948.602755
0,17.41187316,-34.04291108,18.5103452,6456.749078999999,-2188.713813,-4268.035266
0,-33.6906454,-17.3706743,53.26544871,5134.405441,-6101.390174,966.984733
1,-862.222213,596.2842108,268.0419046,-122.72745099999999,450.850961,-328.12351
0,10.03113105,73.53989466,-81.72039476,-6070.787855,5747.963309000001,322.824546
1,330.4106616,-24.38325232,46.89365601,3610.0930249999997,-6661.519392,3051.426367
0,22.72097967,-53.81954147,33.75424468,6363.68469,-1632.052136,-4731.632543
0,5.521701758,-44.61340962,57.70335205,6498.778,-3879.703828,-2619.074172
1,483.2848132,-891.7198353,410.5900832,-222.747987,-240.40559399999998,463.15358100000003
0,-74.30470373,35.93422791,40.35186589,1182.5952710000001,-5592.864134,4410.268863
0,32.2757371,27.57291238,-63.23843642,-4595.300116,6482.9169679999995,-1887.616852
0,2.860112991,-37.75691305,36.8612545,6368.395396,-4828.001980999999,-1540.393415
1,9.095615932,-757.2741706,750.7101344,-3152.5751179999997,-99.977328,3252.5524459999997
1,423.2272791,-893.7963013,470.5938642,-256.927121,-207.508356,464.43547700000005
1,811.1834188,-702.0539918,-8.023405623,50.649291,-2069.440329,2018.791038
0,-30.34713722,-8.985185389,36.36612169,5447.38095,-5739.908042,292.527092
1,698.9779628,12.84393457,31.6377607,2004.8270440000001,-5622.928959999999,3618.101916
0,12.54534733,52.55160498,-62.04097341,-5812.286986,5829.679701999999,-17.392716
1,852.1612301,39.43314232,13.69269494,369.266711,-3739.257357,3369.990646
1,875.5678584,55.66998911,-1.815094325,-944.828137,-1851.286657,2796.114794
0,36.21078669,-51.84252665,18.38732493,5663.112378,131.173405,-5794.285782999999
0,-24.05073774,-52.2509659,52.20777426,4262.724675,-6179.960193,1917.2355289999998
1,-686.5822724,-113.403127,-45.17004242,-424.49788699999993,4141.73639,-3717.238492
1,-751.0340148,-25.74026732,778.7893334,-401.024283,406.43228999999997,-5.407996000000001
0,-69.08040374,46.32912344,24.96964718,-1100.817839,-5096.856358,6197.674197
0,-41.71477407,97.50518166,-59.03766631,-6447.966206,1479.095794,4968.870412
0,-60.1671249,3.372944729,53.16383673,1670.251759,-6426.593272,4756.341513
1,-496.1641884,-397.7463311,894.0464838,-363.68974399999996,252.56302499999998,111.126719
1,-307.0158893,-581.0094794,888.1176899,-408.70383400000003,165.1804,243.523434
0,-17.08612642,69.33581049,-49.32068949,-6715.289284,3702.269252,3013.020032
0,-9.589435982,89.60349031,-83.27194076,-6683.199610999999,4636.619999,2046.579612
0,56.89513818,-46.50448919,-14.1087275,3266.255443,3385.4418509999996,-6651.697294
0,-29.68920702,-30.14059827,62.60579679,5524.387528,-5907.237566999999,382.850039
1,-874.2875979,326.4300805,547.8552537,-273.805807,463.88243,-190.07662299999998
